2Track,Artist,Album,AddedDate
"Some Nights","fun. ","Some Nights (Spotify Exclusive)","2014-11-05T03:32:59Z"
"Not Your Fault","AWOLNATION ","Megalithic Symphony Deluxe","2014-11-05T03:33:52Z"
"Teenagers","My Chemical Romance ","The Black Parade (Explicit Version)","2014-11-05T03:34:59Z"
"I'm Not Okay (I Promise)","My Chemical Romance ","Three Cheers For Sweet Revenge (U.S. PA Version)","2014-11-05T03:35:03Z"
"Wake Up","AWOLNATION ","Megalithic Symphony Deluxe","2014-11-05T03:33:56Z"
"I Write Sins Not Tragedies","Panic! At The Disco ","A Fever You Can't Sweat Out","2014-11-05T03:35:31Z"
"Let's Kill Tonight","Panic! At The Disco ","Vices & Virtues","2014-11-05T03:35:38Z"
"All I Need","AWOLNATION ","Megalithic Symphony Deluxe","2014-11-05T03:36:21Z"
"Never","Moving Pictures ","Footloose (15th Anniversary Collectors' Edition)","2014-11-05T03:36:50Z"
"Shoestrings","AWOLNATION ","Megalithic Symphony Deluxe","2014-11-06T23:45:02Z"
"Don't You Worry Child","Anthem Lights ","Anthem Lights Covers","2014-11-06T23:30:38Z"
"Mirrors","Anthem Lights ","Anthem Lights Covers Part II","2014-11-06T23:30:43Z"
"Lose Yourself - Soundtrack Version","Eminem ","Curtain Call (Deluxe Explicit)","2014-11-05T03:37:54Z"
"Mf","AWOLNATION ","Megalithic Symphony Deluxe","2014-11-05T03:38:00Z"
"The Final Countdown","Europe ","80 Totally 80s Hits","2014-11-06T23:39:51Z"
"Footloose","Kenny Loggins ","Yesterday, Today, Tomorrow - The Greatest Hits Of Kenny Loggins","2014-11-06T23:38:54Z"
"This Song Saved My Life","Simple Plan ","Get Your Heart On!","2014-11-21T01:23:10Z"
"Thnks fr th Mmrs","Fall Out Boy ","Believers Never Die - Greatest Hits","2014-11-27T23:49:45Z"
"Hero Of War","Rise Against ","Appeal To Reason","2014-11-28T01:11:27Z"
"Backseat Serenade","All Time Low ","Don't Panic: It's Longer Now!","2015-08-06T22:22:41Z"
"If These Sheets Were States","All Time Low ","Don't Panic: It's Longer Now!","2015-08-06T22:22:47Z"
"The Reckless and the Brave","All Time Low ","Don't Panic: It's Longer Now!","2015-08-06T22:22:56Z"
"Missing You","All Time Low ","Future Hearts","2015-08-06T22:23:06Z"
"Battle Cry - Bonus Track","Skillet ","Rise (Deluxe)","2015-08-07T19:02:13Z"
